company,review,language,type
Microsoft,Environment that allows you to take time to solve personal affairs.,en,Pro
Microsoft,Depending on the role you may need to work at different time zones schedules.,en,Con
Microsoft,Buena paga buena ubicacion buena cultura,es,Pro
Microsoft,Cultura y demasiado largos los procesos de ingreo,es,Con
Microsoft,"Good benefits, manager was nice, lots of complex systems to learn from.",en,Pro
Microsoft,"Lots of politics after a merge of two teams, upper manager was micro managing all over the place and didn't trust the team.",en,Con
Microsoft,Buenos beneficios y oportunidades de crecio,es,Pro
Microsoft,No encuentro desventajas al trabajar aqui,es,Con
Microsoft,"Gran compensación, acceso a demasiada información que sirve para tu carrera",es,Pro
Microsoft,Hay despidos masivos sin razón alguna.,es,Con
Microsoft,"- Good work-life balance
- Fast-enough growth (within m365 org)
- Good perks.",en,Pro
Microsoft,"- Compensation system is designed to keep you captive within Microsoft, most money won't come from paychecks but from stock options, which require from 3 months to a year to vest them. Some employees call it ""Golden cage"".",en,Con
Microsoft,empresa grande con buenas prestaciones tanto monetarias como de well being,es,Pro
Microsoft,"Poca estabilidad, volátil, con fuerte automatizacion",es,Con
Microsoft,"Sus prestaciones, ambiente laboral, trabajo remoto.",es,Pro
Microsoft,"Horas de trabajo excesivas, falta de directriz en algún momento.",es,Con
Microsoft,"Grandes prestaciones y flexibilidad, se preocupan por el empleado",es,Pro
Microsoft,El puesto es home office asi que aveces se extrania la oficina,es,Con
Microsoft,"Actualización de lo último en tecnología.
Concientización de la diversidad y la inclusión.
Completo acceso a todas las herramientas.
Completo acceso a los profesionales que diseñaron el producto.",es,Pro
Microsoft,Un trabajo muy demandante para los casos a traspasar a las siguiente zona horaria.,es,Con
Microsoft,Compensación por acciones y flexibilidad de trabajo remoto,es,Pro
Microsoft,Lamentable ambiente de equipo y explotación laboral. No es suficiente el pago con respecto a los ingenieros en US,es,Con
Microsoft,El sueldo y la adrenalida de la responsabilidad,es,Pro
Microsoft,La reestructuración y la fragilidad de los roles,es,Con
Microsoft,"Good benefits, good vacations, good products.",en,Pro
Microsoft,"Politics get in the way of everything, management is looking at to benefit themselves playing the politics game, long meetings all day.",en,Con
Microsoft,"Trabajo en equipo, experiencia, prestigio, conocimientos.",es,Pro
Microsoft,"Zonas horarias, filtros, dificultad, idioma",es,Con
Microsoft,"Muy buenos beneficios, gran ambiente de trabajo, gran portafolio, líder en el mercado.",es,Pro
Microsoft,"Tendencia a ser más burocrática y perder atención en su orientación a ""people"".",es,Con
Microsoft,Home office y prestaciones superiores a las de la ley,es,Pro
Microsoft,No he encontrado ninguna al día de hoy,es,Con
Microsoft,"El equipo de trabajo es excelente, gente brillante y capaz. El manager siempre te apoya, ya sea personal o profesionalmente. Las prestaciones son buenas.",es,Pro
Microsoft,"Hubo un recorte de personal y de presupuesto en casi todos los equipos: no habrán aumentos salariales por tiempo indefinido y es más complicado obtener una promoción. El salario no es tan bueno como en otras empresas. Para abaratar sus gastos están contratando en LATAM, donde según su ""estudio de campo"" les indica que están pagando bien a los empleados (y sí, es mayor al promedio) pero no dan más.",es,Con
Microsoft,"Retos continuos
Compañía humana
Capacitación constante
Diversidad de clientes",es,Pro
